Leave,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/leave.htm
- Adoption leave,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/leave/adoption-leave.htm
- Annual leave,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/leave/annual-leave-managers.htm
- - Calculator,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/leave/calculator.htm
- - Buy and sell annual leave,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/leave/buying-and-selling-annual-leave.htm
- Reserve forces,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/leave/armed-services.htm
- Career break,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/leave/career-break.htm
- Disability leave,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/leave/disability-leave.htm
- Keeping in touch,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/leave/keeping-in-touch.htm
- - Days,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/leave/days.htm
- - Schemes,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/leave/schemes.htm
- Maternity leave,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/leave/maternity-leave.htm
- - Submit maternity leave notification,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/leave/submit-maternity-leave-notification.htm
- - Submit MATB1 certificate,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/leave/submit-MATB1-certificate.htm
- - Change maternity leave details,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/leave/change-maternity-leave-details.htm
- Parental leave,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/leave/parental-leave.htm
- Maternity support leave,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/leave/paternity-leave.htm
- Special leave (paid and unpaid),http://intranet.justice.gsi.gov.uk/guidance-support/my-services/leave/special-leave.htm
- Travel disruptions,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/leave/travel-disruptions.htm
- Working time regulations,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/leave/working-time-regulations.htm
- Privilege days,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/leave/privilege-days.htm
- Additional paternity leave,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/leave/add-pat-leave.htm
- Unpaid Trade Union facility time,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/leave/unpaid-trade-union-facility-time-managers.htm
Sick absence,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/sick-absence.htm
- Attendance management policy,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/sick-absence/All-other-staff.htm
- Monitor attendance,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/sick-absence/monitor-attendance.htm
- Returning to work,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/sick-absence/return-to-work.htm
- Occupational health,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/sick-absence/occupational-health-man-tools.htm
- Half-pay / nil-pay,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/sick-absence/half-pay.htm
- SSP,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/sick-absence/statutory-sick-pay.htm
- Extension of sick pay,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/sick-absence/extension-of-sick-pay-managers.htm
- Management tools,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/sick-absence/manager-only-tools.htm
- - Line manager responsibilities,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/sick-absence/line-manager-resp.htm
- - Support available to managers,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/sick-absence/2310.htm
- - Short-term absence,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/sick-absence/short-term-absence.htm
- - Long-term absence,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/sick-absence/long-term-absence.htm
- - - Returning from long-term absence,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/sick-absence/returning-from-long-term-absence.htm
- - Open an absence,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/sick-absence/open-a-sick-absense-record.htm
- - Close an absence,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/sick-absence/close-a-sick-absence-record.htm
- - Submit medical certification,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/sick-absence/submit-medical-certificate.htm
- - Maintaining and recording contact,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/sick-absence/maintaining-and-recording-contact.htm
- - Occupational health,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/sick-absence/cccupational-health-manager-tools.htm
- - Submit return to work paperwork,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/sick-absence/submit-return-to-work-paperwork.htm
- - Absence reminders from Shared Services,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/sick-absence/absence-reminders-from-shared-services.htm
- - AWOL,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/sick-absence/absent-without-leave.htm
- - Extension of sick pay,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/sick-absence/extension-of-sick-pay.htm
- - Illl health retirement,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/sick-absence/ill-health-retirement-manager-tools.htm
- - Sick pay for scheduled ushers,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/sick-absence/claiming-sick-pay-for-scheduled-ushers.htm
- - Phoenix notifications while off work,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/sick-absence/phoenix-notifications-while-off-work.htm
- Medical retirement,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/sick-absence/Ill-health-retirement.htm
Performance management,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/Performance-management.htm
- Mid-year job changes,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/appraisals-performance/mid-year-job-changes.htm
- Managing poor performance,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/appraisals-performance/Managing-poor-performance.htm
- Competency framework,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/appraisals-performance/competencies-and-qualities-framework-guidance.htm
- Recognising peformance,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/appraisals-performance/recognising-performance.htm
- - Recognition and reward,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/appraisals-performance/reward-and-recognition.htm
- Grading guidance,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/appraisals-performance/grading-guidance.htm
- Talent management,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/appraisals-performance/talent-management.htm
- SCS performance management,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/appraisals-performance/scs-performance-management.htm
- Web chat: high performance culture,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/appraisals-performance/high-performance-culture.htm
- Web chat: new perfomance management system,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/appraisals-performance/2219.htm
Induction,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/induction.htm
- Probation period,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/induction/probation-period.htm
Pay,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/pay.htm
- Allowances and payments,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/pay/allowances.htm
- - Claiming overtime and variable pay,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/pay/overtime.htm
"- - Qualification, specialist and other allowances",http://intranet.justice.gsi.gov.uk/guidance-support/my-services/pay/qualification-and-specialist-allowances.htm
- - Temporary responsibility allowance/temporary promotion,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/pay/temporary-responsibility.htm
- - Relocations,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/pay/relocation.htm
- - - Permanent and compulsory allowances,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/pay/permanent-and-compulsory-allowances.htm
- - - Advance of salary for house purchase,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/pay/salary-advance-for-house-purchase.htm
- - - Excess fares,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/pay/excess-fares.htm
- - - Cease excess fares allowance,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/pay/stop-excess-fares-allowance.htm
- - - Re-instate excess fares allowance,http://intranet.justice.gsi.gov.uk/guidance-support/my-services/pay/re-instate-excess-fares-allowance.htm
